negocio,etapa1_cotacao,etapa2_autorizacao,etapa3_cirurgia,etapa4_faturamento,status,ganho,ano,mes,vendedor,cliente,tipo_pagador,estado,produto,linha_produto,valor,receita_ganha,valor_perdido,motivo_perda,etapa_perda,dias_consignacao,dias_pagamento,ciclo_total_dias,dias_cotacao_autorizacao,dias_cirurgia_faturamento,valor_glosado,valor_recuperado,glosa_nao_recuperada
FH-2021-00298,2021-01-14,,,,Perdido,0,2021,2021-01,Tatiana Coelho,Vitalis Rede Integrada,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,45535,0,45535,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00340,2021-01-15,2021-01-18,2021-01-30,2021-02-18,Ganho,1,2021,2021-01,Marcelo Bastos,Hospital Vila Nova,Hospital privado,AL,Material para artroscopia,Ortopedia,180927,180927,0,,,40,148,188,3,19,18489,11700,6789
FH-2021-00205,2021-01-16,2021-01-28,2021-02-15,2021-04-03,Perdido,0,2021,2021-02,Tatiana Coelho,Hospital Sete Coqueiros,Hospital privado,PE,Grampeador cirúrgico,Cirurgia geral,26305,0,26305,Glosa não recuperada,E4 Faturamento,19,0,19,12,47,0,0,0
FH-2021-00239,2021-01-16,2021-02-09,2021-02-12,2021-03-31,Perdido,0,2021,2021-02,Luciana Prado,Hospital Casa Amarela,Hospital privado,PE,Grampeador cirúrgico,Cirurgia geral,13480,0,13480,Inadimplência do cliente,E4 Faturamento,44,0,44,24,47,0,0,0
FH-2021-00267,2021-01-22,,,,Perdido,0,2021,2021-01,Fábio Correia,Hospital Ilha do Leite,Hospital privado,PE,Cateter para angioplastia,Cardiologia,85504,0,85504,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00272,2021-01-22,2021-02-01,2021-02-11,2021-04-16,Ganho,1,2021,2021-02,Fábio Correia,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de quadril,Ortopedia,169329,169329,0,,,47,165,212,10,64,13521,8225,5296
FH-2021-00024,2021-01-23,2021-02-17,2021-03-02,2021-04-22,Ganho,1,2021,2021-03,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Implante de quadril,Ortopedia,123670,123670,0,,,77,145,222,25,51,9872,5183,4689
FH-2021-00356,2021-01-23,2021-02-03,2021-02-13,,Perdido,0,2021,2021-02,Ricardo Aragão,Hospital Costa Verde,Hospital privado,RN,Implante de joelho,Ortopedia,124535,0,124535,Troca de fornecedor em sala,E3 Cirurgia,77,0,77,11,0,0,0,0
FH-2021-00007,2021-01-25,,,,Perdido,0,2021,2021-01,Tatiana Coelho,Hospital Nossa Senhora do Carmo,Hospital privado,PE,Haste intramedular,Ortopedia,62388,0,62388,Produto indisponível em estoque,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00200,2021-01-25,2021-02-01,2021-02-14,2021-04-05,Ganho,1,2021,2021-02,Marcelo Bastos,Hospital Casa Amarela,Hospital privado,PE,Material para artroscopia,Ortopedia,170333,170333,0,,,58,124,182,7,50,17011,4961,12050
FH-2021-00354,2021-01-25,2021-02-08,2021-02-25,2021-04-11,Ganho,1,2021,2021-02,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Cateter para angioplastia,Cardiologia,142230,142230,0,,,69,146,215,14,45,12311,5235,7076
FH-2021-00038,2021-01-26,,,,Perdido,0,2021,2021-01,Marcelo Bastos,Vitalis Rede Integrada,Operadora verticalizada,PE,Stent farmacológico,Cardiologia,228013,0,228013,Produto indisponível em estoque,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00362,2021-01-26,2021-02-06,2021-02-21,2021-05-17,Ganho,1,2021,2021-02,Luciana Prado,Hospital Ponta Negra,Hospital privado,PE,Haste intramedular,Ortopedia,48184,48184,0,,,36,110,146,11,85,3475,2134,1341
FH-2021-00114,2021-01-27,,,,Perdido,0,2021,2021-01,Paulo Menezes,Hospital Nossa Senhora do Carmo,Hospital privado,PE,Haste intramedular,Ortopedia,95960,0,95960,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00121,2021-01-27,2021-02-01,2021-02-17,2021-03-14,Ganho,1,2021,2021-02,Rogério Lins,Hospital Ilha do Leite,Hospital privado,PE,Implante de joelho,Ortopedia,147698,147698,0,,,50,136,186,5,25,15294,7100,8194
FH-2021-00189,2021-01-27,2021-02-22,2021-02-26,2021-05-20,Ganho,1,2021,2021-02,Paulo Menezes,Bem-Estar Saúde,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,277823,277823,0,,,36,118,154,26,83,15768,7661,8107
FH-2021-00042,2021-01-28,2021-02-14,2021-02-19,2021-05-07,Ganho,1,2021,2021-02,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de joelho,Ortopedia,147288,147288,0,,,68,156,224,17,77,17739,8195,9544
FH-2021-00044,2021-02-01,,,,Perdido,0,2021,2021-02,Fábio Correia,Bem-Estar Saúde,Operadora verticalizada,PE,Malha e tela cirúrgica,Cirurgia geral,14762,0,14762,Produto indisponível em estoque,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00369,2021-02-01,2021-02-20,2021-02-24,2021-05-11,Ganho,1,2021,2021-02,Fábio Correia,Hospital Costa Verde,Hospital privado,RN,Placas e parafusos,Ortopedia,22570,22570,0,,,40,158,198,19,76,1704,1067,637
FH-2021-00165,2021-02-03,2021-02-13,2021-02-27,2021-05-19,Ganho,1,2021,2021-02,Paulo Menezes,Hospital Prazeres,Hospital privado,PE,Grampeador cirúrgico,Cirurgia geral,15871,15871,0,,,46,109,155,10,81,707,348,359
FH-2021-00290,2021-02-03,2021-02-08,2021-02-17,2021-03-25,Ganho,1,2021,2021-02,Rogério Lins,Hospital Ponta Verde,Hospital privado,PE,Implante de joelho,Ortopedia,85902,85902,0,,,27,137,164,5,36,7640,4392,3248
FH-2021-00352,2021-02-03,2021-02-25,2021-03-16,2021-05-25,Ganho,1,2021,2021-03,Marcelo Bastos,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de joelho,Ortopedia,52994,52994,0,,,36,148,184,22,70,2803,1281,1522
FH-2021-00195,2021-02-04,,,,Perdido,0,2021,2021-02,Rogério Lins,Clínica Cardio Espinheiro,Hospital privado,AL,Stent farmacológico,Cardiologia,138796,0,138796,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00311,2021-02-04,2021-02-15,2021-02-20,2021-04-18,Ganho,1,2021,2021-02,Paulo Menezes,Bem-Estar Saúde,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,133483,133483,0,,,34,102,136,11,57,5846,4095,1751
FH-2021-00058,2021-02-05,,,,Perdido,0,2021,2021-02,Marcelo Bastos,Hospital Monte Sinai,Hospital privado,PE,Introdutor e guia,Cardiologia,43868,0,43868,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00363,2021-02-05,,,,Perdido,0,2021,2021-02,Sérgio Tavares,Hospital Farol de Maceió,Hospital privado,AL,Stent farmacológico,Cardiologia,47945,0,47945,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00033,2021-02-06,2021-03-03,2021-03-15,2021-05-05,Ganho,1,2021,2021-03,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Grampeador cirúrgico,Cirurgia geral,44555,44555,0,,,68,164,232,25,51,3989,1639,2350
FH-2021-00128,2021-02-06,2021-02-14,2021-03-04,2021-04-29,Ganho,1,2021,2021-03,Marcelo Bastos,Hospital Rio Doce,Hospital privado,AL,Kit de consumo cirúrgico,Cirurgia geral,53471,53471,0,,,37,128,165,8,56,3001,1223,1778
FH-2021-00233,2021-02-06,2021-02-12,2021-03-02,2021-05-03,Ganho,1,2021,2021-03,Sérgio Tavares,Centro Cirúrgico Casa Forte,Hospital privado,PE,Stent farmacológico,Cardiologia,45165,45165,0,,,51,127,178,6,62,5389,2465,2924
FH-2021-00344,2021-02-06,2021-02-23,2021-03-14,2021-06-15,Ganho,1,2021,2021-03,Ricardo Aragão,Hospital Aurora,Hospital privado,AL,Placas e parafusos,Ortopedia,32444,32444,0,,,62,148,210,17,93,2275,1420,855
FH-2021-00219,2021-02-08,2021-02-16,,,Perdido,0,2021,2021-02,Fábio Correia,Bem-Estar Saúde,Operadora verticalizada,PE,Marcapasso,Cardiologia,99916,0,99916,Cirurgia cancelada,E2 Autorizacao,0,0,0,8,0,0,0,0
FH-2021-00163,2021-02-09,2021-02-14,2021-02-23,2021-04-24,Ganho,1,2021,2021-02,Ricardo Aragão,Vitalis Rede Integrada,Operadora verticalizada,PE,Implante de quadril,Ortopedia,222674,222674,0,,,54,160,214,5,60,37104,13699,23405
FH-2021-00095,2021-02-10,2021-02-23,2021-03-11,2021-04-23,Perdido,0,2021,2021-03,Tatiana Coelho,Clínica Ortopédica Boa Viagem,Hospital privado,PE,Placas e parafusos,Ortopedia,67340,0,67340,Nota fiscal não autorizada pelo hospital,E4 Faturamento,16,0,16,13,43,0,0,0
FH-2021-00160,2021-02-10,2021-03-02,2021-03-20,2021-05-28,Ganho,1,2021,2021-03,Fábio Correia,Hospital Rio Doce,Hospital privado,AL,Implante de joelho,Ortopedia,30383,30383,0,,,59,139,198,20,69,2995,2124,871
FH-2021-00251,2021-02-10,2021-02-20,2021-03-07,2021-06-01,Ganho,1,2021,2021-03,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Haste intramedular,Ortopedia,96260,96260,0,,,66,170,236,10,86,12601,7720,4881
FH-2021-00328,2021-02-10,,,,Perdido,0,2021,2021-02,Tatiana Coelho,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de quadril,Ortopedia,44796,0,44796,Produto indisponível em estoque,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00169,2021-02-11,,,,Perdido,0,2021,2021-02,Marcelo Bastos,Clínica Ortopédica Boa Viagem,Hospital privado,PE,Stent farmacológico,Cardiologia,149436,0,149436,Produto indisponível em estoque,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00046,2021-02-12,2021-02-27,2021-03-03,2021-05-09,Ganho,1,2021,2021-03,Tatiana Coelho,Hospital Madalena,Hospital privado,AL,Cateter para angioplastia,Cardiologia,50036,50036,0,,,29,104,133,15,67,2312,730,1582
FH-2021-00304,2021-02-13,2021-03-06,2021-03-25,2021-05-17,Ganho,1,2021,2021-03,Luciana Prado,Vitalis Rede Integrada,Operadora verticalizada,PE,Introdutor e guia,Cardiologia,63073,63073,0,,,42,114,156,21,53,3997,1927,2070
FH-2021-00004,2021-02-14,2021-03-04,2021-03-24,2021-04-24,Ganho,1,2021,2021-03,Paulo Menezes,Bem-Estar Saúde,Operadora verticalizada,PE,Stent farmacológico,Cardiologia,16095,16095,0,,,35,128,163,18,31,1409,795,614
FH-2021-00078,2021-02-14,2021-03-04,2021-03-07,2021-04-16,Ganho,1,2021,2021-03,Ricardo Aragão,Hospital Vale do Capibaribe,Hospital privado,PE,Material para artroscopia,Ortopedia,50977,50977,0,,,46,146,192,18,40,4342,2561,1781
FH-2021-00157,2021-02-14,2021-02-22,,,Perdido,0,2021,2021-02,Ricardo Aragão,Hospital Casa Amarela,Hospital privado,PE,Implante de quadril,Ortopedia,45047,0,45047,Cirurgia cancelada,E2 Autorizacao,0,0,0,8,0,0,0,0
FH-2021-00026,2021-02-17,2021-03-11,2021-03-29,2021-05-03,Ganho,1,2021,2021-03,Tatiana Coelho,Hospital Casa Amarela,Hospital privado,PE,Cateter para angioplastia,Cardiologia,186656,186656,0,,,16,109,125,22,35,5130,2081,3049
FH-2021-00152,2021-02-17,2021-03-12,2021-03-23,2021-06-25,Ganho,1,2021,2021-03,Paulo Menezes,Vitalis Rede Integrada,Operadora verticalizada,PE,Marcapasso,Cardiologia,56021,56021,0,,,37,102,139,23,94,3156,1515,1641
FH-2021-00027,2021-02-18,2021-02-23,,,Perdido,0,2021,2021-02,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Stent farmacológico,Cardiologia,154395,0,154395,Procedimento não autorizado pelo pagador,E2 Autorizacao,0,0,0,5,0,0,0,0
FH-2021-00209,2021-02-18,2021-03-04,2021-03-21,2021-05-22,Ganho,1,2021,2021-03,Rogério Lins,Bem-Estar Saúde,Operadora verticalizada,PE,Introdutor e guia,Cardiologia,48738,48738,0,,,34,108,142,14,62,3565,2259,1306
FH-2021-00174,2021-02-20,,,,Perdido,0,2021,2021-02,Sérgio Tavares,Hospital Monte Sinai,Hospital privado,PE,Implante de quadril,Ortopedia,88153,0,88153,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00076,2021-02-21,,,,Perdido,0,2021,2021-02,Ricardo Aragão,Hospital Ponta Verde,Hospital privado,PE,Marcapasso,Cardiologia,167021,0,167021,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00171,2021-02-21,2021-03-16,,,Perdido,0,2021,2021-02,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,231046,0,231046,Troca de fonte pagadora no meio do processo,E2 Autorizacao,0,0,0,23,0,0,0,0
FH-2021-00198,2021-02-22,2021-03-04,2021-03-12,2021-03-30,Ganho,1,2021,2021-03,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,220139,220139,0,,,53,146,199,10,18,28725,10585,18140
FH-2021-00072,2021-02-24,2021-03-20,2021-04-06,2021-05-24,Ganho,1,2021,2021-04,Tatiana Coelho,Hospital Monte Sinai,Hospital privado,PE,Introdutor e guia,Cardiologia,66852,66852,0,,,29,101,130,24,48,2539,1361,1178
FH-2021-00099,2021-02-24,,,,Perdido,0,2021,2021-02,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,175124,0,175124,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00179,2021-02-24,2021-02-27,2021-03-08,2021-05-03,Ganho,1,2021,2021-03,Paulo Menezes,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de quadril,Ortopedia,139141,139141,0,,,45,122,167,3,56,8061,2925,5136
FH-2021-00066,2021-02-26,2021-03-13,2021-03-27,2021-04-21,Ganho,1,2021,2021-03,Rogério Lins,Bem-Estar Saúde,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,153801,153801,0,,,35,140,175,15,25,10865,7945,2920
FH-2021-00156,2021-02-26,,,,Perdido,0,2021,2021-02,Tatiana Coelho,Hospital Nossa Senhora do Carmo,Hospital privado,PE,Material para artroscopia,Ortopedia,202393,0,202393,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00364,2021-02-26,,,,Perdido,0,2021,2021-02,Marcelo Bastos,Centro Cirúrgico Casa Forte,Hospital privado,PE,Implante de quadril,Ortopedia,61874,0,61874,Produto indisponível em estoque,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00005,2021-02-27,2021-03-02,2021-03-05,2021-04-25,Ganho,1,2021,2021-03,Ricardo Aragão,Vitalis Rede Integrada,Operadora verticalizada,PE,Grampeador cirúrgico,Cirurgia geral,221280,221280,0,,,58,148,206,3,51,20086,6156,13930
FH-2021-00292,2021-02-27,2021-03-09,2021-03-20,2021-04-18,Ganho,1,2021,2021-03,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Introdutor e guia,Cardiologia,484523,484523,0,,,73,154,227,10,29,44259,23598,20661
FH-2021-00330,2021-02-27,2021-03-03,,,Perdido,0,2021,2021-02,Marcelo Bastos,Vitalis Rede Integrada,Operadora verticalizada,PE,Haste intramedular,Ortopedia,349184,0,349184,Autorização expirou,E2 Autorizacao,0,0,0,4,0,0,0,0
FH-2021-00158,2021-02-28,2021-03-23,2021-03-27,2021-06-20,Ganho,1,2021,2021-03,Paulo Menezes,Vitalis Rede Integrada,Operadora verticalizada,PE,Stent farmacológico,Cardiologia,336776,336776,0,,,38,123,161,23,85,18181,5175,13006
FH-2021-00274,2021-02-28,,,,Perdido,0,2021,2021-02,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Implante de quadril,Ortopedia,209679,0,209679,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00223,2021-03-01,2021-03-05,2021-03-23,2021-06-25,Ganho,1,2021,2021-03,Paulo Menezes,Hospital Geral de Maceió,Hospital público,RN,Material para artroscopia,Ortopedia,38015,38015,0,,,37,100,137,4,94,3292,2357,935
FH-2021-00180,2021-03-03,2021-03-20,2021-03-26,2021-06-04,Ganho,1,2021,2021-03,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Cateter para angioplastia,Cardiologia,112910,112910,0,,,64,153,217,17,70,11507,3757,7750
FH-2021-00308,2021-03-03,,,,Perdido,0,2021,2021-03,Paulo Menezes,Vitalis Rede Integrada,Operadora verticalizada,PE,Haste intramedular,Ortopedia,87426,0,87426,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00082,2021-03-04,2021-03-18,2021-03-21,2021-04-28,Ganho,1,2021,2021-03,Fábio Correia,Clinipar Integrada,Operadora verticalizada,PE,Stent farmacológico,Cardiologia,561681,561681,0,,,44,143,187,14,38,37667,25083,12584
FH-2021-00143,2021-03-04,2021-03-21,2021-03-28,2021-04-15,Ganho,1,2021,2021-03,Marcelo Bastos,Clinipar Integrada,Operadora verticalizada,PE,Kit de consumo cirúrgico,Cirurgia geral,177230,177230,0,,,30,118,148,17,18,14163,7758,6405
FH-2021-00182,2021-03-04,,,,Perdido,0,2021,2021-03,Rogério Lins,Hospital Monte Sinai,Hospital privado,PE,Implante de joelho,Ortopedia,53159,0,53159,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00332,2021-03-04,2021-03-25,2021-04-13,2021-07-11,Ganho,1,2021,2021-04,Rogério Lins,Vitalis Rede Integrada,Operadora verticalizada,PE,Introdutor e guia,Cardiologia,172010,172010,0,,,32,120,152,21,89,17766,6807,10959
FH-2021-00240,2021-03-05,2021-03-21,2021-04-09,2021-04-30,Ganho,1,2021,2021-04,Marcelo Bastos,Clínica Cardio Espinheiro,Hospital privado,AL,Marcapasso,Cardiologia,463293,463293,0,,,30,124,154,16,21,49948,23844,26104
FH-2021-00275,2021-03-05,2021-03-20,,,Perdido,0,2021,2021-03,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Haste intramedular,Ortopedia,92488,0,92488,Autorização expirou,E2 Autorizacao,0,0,0,15,0,0,0,0
FH-2021-00329,2021-03-05,2021-03-19,2021-03-24,2021-04-16,Ganho,1,2021,2021-03,Paulo Menezes,Vitalis Rede Integrada,Operadora verticalizada,PE,Marcapasso,Cardiologia,72923,72923,0,,,24,110,134,14,23,3447,1635,1812
FH-2021-00136,2021-03-06,2021-03-21,2021-03-24,2021-06-16,Ganho,1,2021,2021-03,Marcelo Bastos,Bem-Estar Saúde,Operadora verticalizada,PE,Kit de consumo cirúrgico,Cirurgia geral,34921,34921,0,,,50,113,163,15,84,2571,1320,1251
FH-2021-00336,2021-03-06,2021-03-22,2021-04-08,2021-05-16,Ganho,1,2021,2021-04,Sérgio Tavares,Clínica Cardio Espinheiro,Hospital privado,AL,Implante de joelho,Ortopedia,96298,96298,0,,,41,124,165,16,38,7168,4240,2928
FH-2021-00126,2021-03-07,,,,Perdido,0,2021,2021-03,Fábio Correia,Hospital Estadual de Pernambuco,Hospital público,PE,Implante de joelho,Ortopedia,50465,0,50465,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00232,2021-03-07,2021-03-23,2021-04-05,,Perdido,0,2021,2021-04,Luciana Prado,Hospital Ilha do Leite,Hospital privado,PE,Implante de quadril,Ortopedia,20805,0,20805,Troca de fornecedor em sala,E3 Cirurgia,43,0,43,16,0,0,0,0
FH-2021-00299,2021-03-07,2021-03-22,2021-03-28,2021-06-14,Ganho,1,2021,2021-03,Rogério Lins,Clinipar Integrada,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,94676,94676,0,,,39,140,179,15,78,9018,4843,4175
FH-2021-00348,2021-03-09,2021-03-12,2021-03-14,2021-04-24,Ganho,1,2021,2021-03,Luciana Prado,Vitalis Rede Integrada,Operadora verticalizada,PE,Marcapasso,Cardiologia,111682,111682,0,,,25,126,151,3,41,9209,5493,3716
FH-2021-00371,2021-03-09,,,,Perdido,0,2021,2021-03,Ricardo Aragão,Hospital Monte Sinai,Hospital privado,PE,Material para artroscopia,Ortopedia,113619,0,113619,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00296,2021-03-10,2021-03-26,,,Perdido,0,2021,2021-03,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Kit de consumo cirúrgico,Cirurgia geral,248901,0,248901,Autorização expirou,E2 Autorizacao,0,0,0,16,0,0,0,0
FH-2021-00036,2021-03-11,,,,Perdido,0,2021,2021-03,Sérgio Tavares,Hospital Real do Recife,Hospital privado,PB,Grampeador cirúrgico,Cirurgia geral,50537,0,50537,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00014,2021-03-12,2021-03-16,2021-03-19,2021-06-08,Ganho,1,2021,2021-03,Rogério Lins,Hospital Piedade,Hospital privado,RN,Introdutor e guia,Cardiologia,57700,57700,0,,,24,139,163,4,81,2843,1316,1527
FH-2021-00097,2021-03-13,2021-03-28,2021-04-08,2021-05-10,Ganho,1,2021,2021-04,Fábio Correia,Clinipar Integrada,Operadora verticalizada,PE,Cateter para angioplastia,Cardiologia,106032,106032,0,,,42,147,189,15,32,7267,3086,4181
FH-2021-00142,2021-03-13,,,,Perdido,0,2021,2021-03,Sérgio Tavares,Clinipar Integrada,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,195254,0,195254,Sem contrato para atender,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00185,2021-03-13,2021-03-22,2021-04-09,,Perdido,0,2021,2021-04,Sérgio Tavares,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de quadril,Ortopedia,191366,0,191366,Material devolvido sem uso,E3 Cirurgia,53,0,53,9,0,0,0,0
FH-2021-00103,2021-03-14,2021-03-17,,,Perdido,0,2021,2021-03,Tatiana Coelho,Hospital Ponta Verde,Hospital privado,PE,Haste intramedular,Ortopedia,33642,0,33642,Cirurgia cancelada,E2 Autorizacao,0,0,0,3,0,0,0,0
FH-2021-00141,2021-03-14,2021-03-24,,,Perdido,0,2021,2021-03,Marcelo Bastos,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de quadril,Ortopedia,86190,0,86190,Autorização expirou,E2 Autorizacao,0,0,0,10,0,0,0,0
FH-2021-00177,2021-03-16,2021-03-27,2021-04-06,2021-06-15,Ganho,1,2021,2021-04,Luciana Prado,Hospital Ilha do Leite,Hospital privado,PE,Cateter para angioplastia,Cardiologia,31420,31420,0,,,35,126,161,11,70,2114,906,1208
FH-2021-00016,2021-03-17,,,,Perdido,0,2021,2021-03,Luciana Prado,Vitalis Rede Integrada,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,117303,0,117303,Produto indisponível em estoque,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00048,2021-03-17,2021-03-22,2021-04-01,2021-06-05,Ganho,1,2021,2021-04,Marcelo Bastos,Clinipar Integrada,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,413307,413307,0,,,35,136,171,5,65,42807,15929,26878
